GENDER;AGE;RAPM_PAP;ANALOGIES_PAP;CFT_PAP;CFT_COMP;RAPM_COMP;ANALOGIES_COMP;RAPM;ANALOGIES;CFT;FLUID_REASON_FACTOR_SCORES;MONITORING;MATCHING;COMPARING;MC;SSPAN;CSPAN;RT_RAPM;RT_ANALOGIES;RT_CFT;RT_MONIT;RT_MATCH;RT_COMPAR
M;22;0,89;0,94;0,72;0,89;0,94;0,94;0,92;0,94;0,81;1,84;0,98;0,95;0,94;0,96;1;0,88;65,31;43,67;35,9;7,6;14,54;11,53
F;21;0,44;0,5;0,39;0,22;0,39;0,22;0,42;0,36;0,31;-2,54;0,71;0,55;0,74;0,5;0,77;0,49;27,81;25,45;11,9;;12,81;12,17
F;23;0,22;0,67;0,44;0,5;0,28;0,78;0,25;0,72;0,47;-1,52;0,34;0,59;0,44;0,4;0,77;0,53;28,07;26,67;16,71;6,6;11,22;9,71
F;26;0,56;0,89;0,78;0,67;0,72;0,78;0,64;0,83;0,72;0,54;0,82;0,41;0,8;0,44;0,61;0,55;54,36;38,43;44,13;8,72;11,73;11,27
F;22;0,94;0,72;0,89;0,78;0,83;0,89;0,89;0,81;0,83;1,46;0,84;0,8;0,74;0,64;0,82;0,82;37,45;35,3;27,29;9,05;11,11;11,02
F;19;0,61;0,56;0,56;0,33;0,44;0,61;0,53;0,58;0,44;-1,27;0,66;0,39;0,74;0,43;0,76;0,64;28,33;33,99;19,35;9,75;9,39;11,31
M;19;0,67;0,72;0,56;0,61;0,67;0,78;0,67;0,75;0,58;-0,02;0,84;0,36;0,56;0,53;0,85;0,61;57,99;38,95;24,93;9,49;13,07;11,59
F;20;0,89;0,94;0,89;0,83;0,89;0,72;0,89;0,83;0,86;1,61;0,98;0,68;0,96;0,7;0,89;0,49;43,07;31,13;22,34;6,27;12,89;8,39
F;20;0,33;0,72;0,56;0,44;0,61;0,61;0,47;0,67;0,5;-1;0,74;0,41;0,58;0,22;0,74;0,63;33,86;29,1;16,75;9,38;9,31;10,45
F;23;0,72;0,61;0,56;0,56;0,5;0,67;0,61;0,64;0,56;-0,54;0,8;0,64;0,8;0,52;0,87;0,63;41,96;37,21;39,56;;11,69;10,38
F;22;0,33;0,39;0,67;0,5;0,22;0,5;0,28;0,44;0,58;-1,88;0,58;0,52;0,36;0,22;0,74;0,53;29,48;35,54;18,53;;11;6,09
F;24;0,89;0,83;0,89;0,83;0,89;0,89;0,89;0,86;0,86;1,69;0,94;0,95;0,98;0,87;0,83;0,72;58,88;34,41;26,76;7,34;12,18;8,26
M;31;0,44;0,5;0,5;0,5;0,33;0,44;0,39;0,47;0,5;-1,75;0,78;0,57;0,52;0,64;0,59;0,63;26,73;18,92;13,37;8,93;13,67;12,17
M;22;0,94;0,89;0,89;0,72;0,83;0,89;0,89;0,89;0,81;1,62;0,8;0,77;0,94;0,82;1;0,85;35,42;36,91;22,46;8,63;10,78;9,98
F;25;0,78;0,83;0,5;0,67;0,67;0,67;0,72;0,75;0,58;0,11;0,8;0,64;0,86;0,76;0,85;0,74;38,79;33,69;24,62;11,21;14,2;11,53
F;26;0,67;0,56;0,61;0,67;0,5;0,5;0,58;0,53;0,64;-0,68;0,64;0,55;0,72;0,33;0,63;0,31;45;36,94;27,99;7,41;16,12;11,66
F;27;0,33;0,78;0,44;0,56;0,44;0,61;0,39;0,69;0,5;-1,15;0,8;0,73;0,82;0,58;0,75;0,68;29,57;28,47;22,78;8,96;13,91;10,5
F;24;0,61;0,72;0,89;0,5;0,72;0,67;0,67;0,69;0,69;0,14;0,76;0,75;0,88;0,21;0,78;0,54;63,91;35,49;23,97;8,52;12,43;9,22
M;21;0,89;0,67;0,61;0,72;0,83;0,61;0,86;0,64;0,67;0,44;0,74;0,8;0,54;0,54;0,79;0,4;65,56;47,79;32,5;10,95;15,22;13,89
F;19;0,67;0,61;0,56;0,72;0,39;0,78;0,53;0,69;0,64;-0,37;0,84;0,68;0,78;0,39;0,68;0,42;42,04;30,05;22,23;8,64;12;11,78
F;24;0,78;0,94;0,83;0,67;1;0,94;0,89;0,94;0,75;1,58;0,93;0,84;0,9;0,56;0,89;0,83;58;33,28;34,26;;13,29;9,02
F;21;0,83;0,83;0,67;0,78;0,72;0,78;0,78;0,81;0,72;0,85;0,88;0,75;0,96;0,4;0,73;0,79;61,79;39,67;26,08;6,89;12,21;10,02
F;20;0,56;0,78;0,72;0,72;0,61;0,83;0,58;0,81;0,72;0,33;0,84;0,59;0,52;0,53;0,69;0,6;63,21;42,78;26,65;9;14,44;11,94
M;19;0,83;0,72;0,78;0,72;0,72;0,83;0,78;0,78;0,75;0,86;0,78;0,66;0,68;0,66;0,74;0,55;47,4;40,31;26,3;10,96;14,09;13,1
M;29;0,61;0,72;0,44;0,44;0,33;0,5;0,47;0,61;0,44;-1,34;0,76;0,25;0,28;0,58;0,73;0,59;52,01;47,73;26,37;9,41;14,49;12,57
F;27;0,83;0,61;0,67;0,39;0,44;0,61;0,64;0,61;0,53;-0,63;0,82;0,68;0,82;0,3;0,75;0,26;65,16;27,12;21,11;9,98;12,01;10,77
M;26;0,22;0,39;0,33;0,33;0,28;0,39;0,25;0,39;0,33;-2,84;0,62;0,27;0,4;0,31;0,76;0,45;20,41;19,68;12,92;9,7;12,07;12,9
F;27;0,56;0,61;0,61;0,44;0,33;0,72;0,44;0,67;0,53;-0,99;0,72;0,52;0,66;0;0,71;0,61;52,95;45,8;22,75;9,47;12,58;10,32
F;22;0,72;0,33;0,78;0,56;0,44;0,67;0,58;0,5;0,67;-0,67;0,68;0,36;0,48;0,43;0,79;0,32;25,17;34,95;29,64;;11,69;9,89
F;21;0,78;0,94;0,67;0,78;0,78;0,94;0,78;0,94;0,72;1,21;0,9;0,84;0,86;0,6;0,86;0,7;64,54;44,39;23,48;7,35;12,4;9,97
F;22;0,61;0,67;0,56;0,72;0,72;0,61;0,67;0,64;0,64;-0,14;0,72;0,43;0,46;0,54;0,64;0,66;38,49;27,01;21,37;;13,14;10,54
F;19;0,78;0,89;0,78;0,83;0,67;0,83;0,72;0,86;0,81;1,1;0,87;0,7;0,88;0,75;0,79;0,55;55,48;35,93;17,68;;12,07;10,18
F;21;0,94;1;0,83;0,78;0,83;1;0,89;1;0,81;1,92;0,88;0,93;0,96;0,44;0,92;0,81;36,82;24,62;24,26;8,38;12,25;9,77
F;27;0,39;0,5;0,78;0,5;0,39;0,5;0,39;0,5;0,64;-1,25;0,68;0,5;0,62;0,5;0,59;0,82;58,32;41,49;36,12;8;16,76;11,38
F;24;0,56;0,83;0,67;0,33;0,5;0,44;0,53;0,64;0,5;-0,92;0,72;0,55;0,58;0,47;0,72;0,82;40,41;35,13;16,64;9,28;12,41;10,1
M;29;0,56;0,39;0,5;0,33;0,39;0,44;0,47;0,42;0,42;-1,92;0,62;0,45;0,28;0,3;0,84;0,63;55,68;19,77;19,93;8,81;13,23;11,22
M;24;0,94;0,94;0,78;0,72;0,83;0,94;0,89;0,94;0,75;1,58;0,94;0,89;0,98;0,63;0,98;0,69;47,36;30,48;21,24;8,3;11,39;9,92
F;19;0,56;0,56;0,56;0,39;0,39;0,67;0,47;0,61;0,47;-1,25;0,42;0,68;0,42;0,62;0,64;0,67;41,77;40,53;43,72;7,64;13,16;7,24
F;19;0,5;0,67;0,61;0,67;0,5;0,5;0,5;0,58;0,64;-0,75;0,52;0,64;0,46;0,59;0,84;0,68;36,52;33,25;42,36;5,38;11,79;8,91
M;22;0,5;0,89;0,78;0,67;0,56;0,67;0,53;0,78;0,72;0,12;0,84;0,7;0,6;0,43;0,91;0,63;62,86;46,76;37,35;10,52;12,06;12,58
